Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Brunei Darussalam,6.693596917,7.745818643,6.693596917,7.745818643,6.693596917,7.745818643,7.345177681,7.745818643,7.348749548,7.745818643
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Bulgaria,23.85248605,21.63806967,23.85248605,21.63806967,23.85248605,21.63806967,25.5775453,21.63806967,19.66415885,21.63806967
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Burkina Faso,54.9070878,48.4137269,54.9070878,48.4137269,54.9070878,48.4137269,51.23693236,48.4137269,53.53072599,48.4137269
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Burundi,33.64156521,34.92429065,33.64156521,34.92429065,33.64156521,34.92429065,35.29849847,34.92429065,32.8625076,34.92429065
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cabo Verde,42.85174163,39.18447447,42.85174163,39.18447447,42.85174163,39.18447447,46.89453877,39.18447447,52.61609912,39.18447447
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cambodia,29.35286761,24.24631214,29.35286761,24.24631214,29.35286761,24.24631214,24.76841347,24.24631214,22.01765339,24.24631214
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cameroon,61.29110011,56.35775552,61.29110011,56.35775552,61.29110011,56.35775552,58.86976922,56.35775552,62.3153609,56.35775552
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Canada,9.020255828,7.492005176,9.020255828,7.492005176,9.020255828,7.492005176,7.340076929,7.492005176,7.281874712,7.492005176
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Central African Republic,41.7241462,42.4180555,41.7241462,42.4180555,41.7241462,42.4180555,46.92326876,42.4180555,44.3882319,42.4180555
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Chad,59.44666881,53.37526383,59.44666881,53.37526383,59.44666881,53.37526383,58.78662177,53.37526383,59.52255694,53.37526383
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Chile,21.10676982,22.30595213,21.10676982,22.30595213,21.10676982,22.30595213,22.4347061,22.30595213,21.93712901,22.30595213
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",China,51.55204637,58,60,66,69.48,70,75,60.26956062,49.92778443,47.96
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Colombia,23.55652816,23.85881131,23.55652816,23.85881131,23.55652816,23.85881131,25.94720366,23.85881131,22.0407325,23.85881131
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Comoros,17.37458137,17.0517918,17.37458137,17.0517918,17.37458137,17.0517918,17.91529648,17.0517918,16.63714372,17.0517918
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Congo, Dem. Rep.",35.92843565,36.66375068,35.92843565,36.66375068,35.92843565,36.66375068,36.98630498,36.66375068,35.59581848,36.66375068
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Congo, Rep.",36.89651998,38.07507474,36.89651998,38.07507474,36.89651998,38.07507474,38.52385349,38.07507474,38.36895785,38.07507474
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Costa Rica,18.192241,18.28090193,18.192241,18.28090193,18.192241,18.28090193,19.56315996,18.28090193,17.43892166,18.28090193
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cote d'Ivoire,56.69825521,48.05276242,56.69825521,48.05276242,56.69825521,48.05276242,56.51620975,48.05276242,55.04316481,48.05276242
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Croatia,23.07265013,19.54244679,23.07265013,19.54244679,23.07265013,19.54244679,23.24147685,19.54244679,18.34290048,19.54244679
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cuba,19.00076003,19.5657393,19.00076003,19.5657393,19.00076003,19.5657393,18.92277826,19.5657393,18.38056914,19.5657393
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Cyprus,17.96776089,16.41203304,17.96776089,16.41203304,17.96776089,16.41203304,18.49284254,16.41203304,15.1441739,16.41203304
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Czechia,20.87395739,18.16896079,20.87395739,18.16896079,20.87395739,18.16896079,20.7873617,18.16896079,16.73176229,18.16896079
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Denmark,13.09783363,11.03144858,13.09783363,11.03144858,13.09783363,11.03144858,13.56725749,11.03144858,10.28076623,11.03144858
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Djibouti,39.76661984,42.85562418,39.76661984,42.85562418,39.76661984,42.85562418,45.33865903,42.85562418,43.66118465,42.85562418
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Dominica,17.52865528,17.49910192,17.52865528,17.49910192,17.52865528,17.49910192,16.88759795,17.49910192,18.1758119,17.49910192
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Dominican Republic,17.47346106,17.44234007,17.47346106,17.44234007,17.47346106,17.44234007,16.21392774,17.44234007,17.74186912,17.44234007
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Ecuador,19.62900732,20.83237429,19.62900732,20.83237429,19.62900732,20.83237429,19.5062242,20.83237429,19.21356831,20.83237429
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Egypt, Arab Rep.",69.6572716,72.02485383,69.6572716,72.02485383,69.6572716,72.02485383,69.78315269,72.02485383,66.95918516,72.02485383
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",El Salvador,24.81827804,24.42849717,24.81827804,24.42849717,24.81827804,24.42849717,28.62940035,24.42849717,23.11248633,24.42849717
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Equatorial Guinea,40.2537776,39.10904578,40.2537776,39.10904578,40.2537776,39.10904578,41.37893343,39.10904578,42.80037217,39.10904578
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Eritrea,42.13880224,39.15059178,42.13880224,39.15059178,42.13880224,39.15059178,43.39379676,39.15059178,43.85000214,39.15059178
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Estonia,8.36496091,8.097020858,8.36496091,8.097020858,8.36496091,8.097020858,7.749831914,8.097020858,5.683914429,8.097020858
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Eswatini,23.11401387,23.10280385,23.11401387,23.10280385,23.11401387,23.10280385,23.07978384,23.10280385,23.41488293,23.10280385
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Ethiopia,31.47408068,32.99059157,31.47408068,32.99059157,31.47408068,32.99059157,34.91967839,32.99059157,33.94832602,32.99059157
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Fiji,11.098569,10.73278375,11.098569,10.73278375,11.098569,10.73278375,10.98057046,10.73278375,11.06543703,10.73278375
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Finland,7.114175404,6.373112438,7.114175404,6.373112438,7.114175404,6.373112438,7.018955644,6.373112438,5.257788389,6.373112438
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",France,14.89539999,11.58971968,14.89539999,11.58971968,14.89539999,11.58971968,14.99131566,11.58971968,11.43000879,11.58971968
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Gabon,34.34349626,34.1318172,34.34349626,34.1318172,34.34349626,34.1318172,36.03479593,34.1318172,35.36985071,34.1318172
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Gambia, The",55.3530761,53.61781493,55.3530761,53.61781493,55.3530761,53.61781493,56.9350963,53.61781493,61.41990384,53.61781493
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Georgia,16.51679403,19.38130856,16.51679403,19.38130856,16.51679403,19.38130856,19.82880145,19.38130856,18.02704398,19.38130856
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Germany,15.08202344,12.24528447,15.08202344,12.24528447,15.08202344,12.24528447,15.57511307,12.24528447,11.88161987,12.24528447
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Ghana,52.84830506,46.9526973,52.84830506,46.9526973,52.84830506,46.9526973,53.47816985,46.9526973,55.93672757,46.9526973
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Greece,19.15743208,15.72743666,19.15743208,15.72743666,19.15743208,15.72743666,19.73341964,15.72743666,14.43912017,15.72743666
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Greenland,6.361755729,6.378015917,6.361755729,6.378015917,6.361755729,6.378015917,5.785407287,6.378015917,6.616395462,6.378015917
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Grenada,19.66107509,20.26503477,19.66107509,20.26503477,19.66107509,20.26503477,19.10315605,20.26503477,21.00966255,20.26503477
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Guam,7.53353071,7.432922337,7.53353071,7.432922337,7.53353071,7.432922337,6.859106867,7.432922337,7.745768475,7.432922337
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Guatemala,29.198214,29.42704565,29.198214,29.42704565,29.198214,29.42704565,32.544288,29.42704565,27.81052009,29.42704565
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Guinea,50.87115318,48.19905641,50.87115318,48.19905641,50.87115318,48.19905641,51.94689259,48.19905641,53.48751596,48.19905641
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Guinea-Bissau,52.66763856,49.37871651,52.66763856,49.37871651,52.66763856,49.37871651,53.95598891,49.37871651,57.49587976,49.37871651
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Guyana,22.24598196,21.30120727,22.24598196,21.30120727,22.24598196,21.30120727,20.95555676,21.30120727,21.43446346,21.30120727
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Haiti,18.63563931,19.17668414,18.63563931,19.17668414,18.63563931,19.17668414,17.73545429,19.17668414,19.12974699,19.17668414
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Honduras,25.50601519,25.60894093,25.50601519,25.60894093,25.50601519,25.60894093,28.6901789,25.60894093,22.74896563,25.60894093
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Hungary,20.28580736,17.52501676,20.28580736,17.52501676,20.28580736,17.52501676,20.74074009,17.52501676,16.57651016,17.52501676
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Iceland,6.649553492,5.939603293,6.649553492,5.939603293,6.649553492,5.939603293,6.809186658,5.939603293,5.709265082,5.939603293
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",India,81.29,82.77,84.16,90.33,95.76,97.6,88.17,91.24264397,89.62,89.3
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Indonesia,21.75442599,18.89054816,21.75442599,18.89054816,21.75442599,18.89054816,18.94685133,18.89054816,18.55575927,18.89054816
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Iran, Islamic Rep.",38.35606228,39.85297971,38.35606228,39.85297971,38.35606228,39.85297971,42.55901964,39.85297971,38.9645715,39.85297971
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Iraq,50.85365062,47.58535292,50.85365062,47.58535292,50.85365062,47.58535292,53.98373198,47.58535292,50.02941919,47.58535292
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Ireland,10.4600038,8.522230711,10.4600038,8.522230711,10.4600038,8.522230711,10.06939194,8.522230711,7.664546609,8.522230711
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Israel,23.26803051,21.76878839,23.26803051,21.76878839,23.26803051,21.76878839,24.70951301,21.76878839,20.20136227,21.76878839
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Italy,21.57351808,17.10725238,21.57351808,17.10725238,21.57351808,17.10725238,21.4270346,17.10725238,16.09761447,17.10725238
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Jamaica,15.37177139,15.50872429,15.37177139,15.50872429,15.37177139,15.50872429,14.11539401,15.50872429,15.41666418,15.50872429
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Japan,12.05741833,13.71386106,12.05741833,13.71386106,12.05741833,13.71386106,12.67886893,13.71386106,13.570691,13.71386106
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Jordan,33.33893938,33.92842262,33.33893938,33.92842262,33.33893938,33.92842262,33.72917392,33.92842262,32.5078793,33.92842262
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Kazakhstan,17.53591329,21.45655621,17.53591329,21.45655621,17.53591329,21.45655621,22.31865641,21.45655621,20.10344809,21.45655621
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Kenya,23.2584201,27.25581094,23.2584201,27.25581094,23.2584201,27.25581094,28.78168174,27.25581094,25.06403775,27.25581094
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Kiribati,10.27696685,9.287738199,10.27696685,9.287738199,10.27696685,9.287738199,9.763735686,9.287738199,9.564153332,9.287738199
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Korea, Dem. People's Rep.",40.67379917,49.15322338,40.67379917,49.15322338,40.67379917,49.15322338,44.5453414,49.15322338,42.74423807,49.15322338
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Korea, Rep.",23.59097074,28.1810993,23.59097074,28.1810993,23.59097074,28.1810993,25.45681317,28.1810993,26.88210754,28.1810993
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Kuwait,65.2862992,57.02947492,65.2862992,57.02947492,65.2862992,57.02947492,67.97715751,57.02947492,63.39850808,57.02947492
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Kyrgyz Republic,22.57651105,26.29792566,22.57651105,26.29792566,22.57651105,26.29792566,27.72189651,26.29792566,24.09670211,26.29792566
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Lao PDR,25.8689361,21.54907826,25.8689361,21.54907826,25.8689361,21.54907826,21.75888724,21.54907826,19.26088509,21.54907826
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Latvia,17.02533531,16.19572343,17.02533531,16.19572343,17.02533531,16.19572343,15.79757359,16.19572343,11.78077521,16.19572343
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Lebanon,28.8068316,31.01273397,28.8068316,31.01273397,28.8068316,31.01273397,30.2100053,31.01273397,29.10177799,31.01273397
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Lesotho,27.37260881,32.68274398,27.37260881,32.68274398,27.37260881,32.68274398,32.67711249,32.68274398,29.79040935,32.68274398
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Liberia,51.11912488,45.00740159,51.11912488,45.00740159,51.11912488,45.00740159,51.31718502,45.00740159,48.31232523,45.00740159
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Libya,43.8599594,39.66495649,43.8599594,39.66495649,43.8599594,39.66495649,40.00846258,39.66495649,37.83073851,39.66495649
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Lithuania,14.05574145,13.3329535,14.05574145,13.3329535,14.05574145,13.3329535,12.99478901,13.3329535,10.19686116,13.3329535
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Luxembourg,12.52862468,10.15031354,12.52862468,10.15031354,12.52862468,10.15031354,12.84812551,10.15031354,9.845420415,10.15031354
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Madagascar,17.76292144,19.25843878,17.76292144,19.25843878,17.76292144,19.25843878,20.09269248,19.25843878,18.00806439,19.25843878
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Malawi,24.53315863,26.83022559,24.53315863,26.83022559,24.53315863,26.83022559,27.1748805,26.83022559,23.9485906,26.83022559
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Malaysia,20.10216491,17.22079966,20.10216491,17.22079966,20.10216491,17.22079966,17.31553828,17.22079966,16.4374241,17.22079966
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Maldives,13.30959933,11.10396316,13.30959933,11.10396316,13.30959933,11.10396316,12.28813159,11.10396316,11.16442084,11.10396316
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mali,59.6884795,56.00353617,59.6884795,56.00353617,59.6884795,56.00353617,58.97191431,56.00353617,61.60379119,56.00353617
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Malta,15.31761524,13.75861976,15.31761524,13.75861976,15.31761524,13.75861976,16.1746136,13.75861976,12.50133169,13.75861976
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Marshall Islands,10.02699513,9.02903083,10.02699513,9.02903083,10.02699513,9.02903083,9.446098507,9.02903083,9.153255835,9.02903083
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mauritania,65.2745712,60.59257285,65.2745712,60.59257285,65.2745712,60.59257285,65.66767722,60.59257285,69.63359465,60.59257285
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mauritius,16.20307148,15.00618829,16.20307148,15.00618829,16.20307148,15.00618829,15.01177506,15.00618829,14.81559572,15.00618829
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mexico,23.14446696,22.03917349,23.14446696,22.03917349,23.14446696,22.03917349,24.71743397,22.03917349,20.4160723,22.03917349
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Micronesia, Fed. Sts.",10.89265862,10.19444017,10.89265862,10.19444017,10.89265862,10.19444017,10.37657887,10.19444017,10.1509403,10.19444017
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Moldova,18.4986738,16.41710187,18.4986738,16.41710187,18.4986738,16.41710187,18.15842605,16.41710187,13.38884186,16.41710187
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Monaco,15.10886171,11.93351121,15.10886171,11.93351121,15.10886171,11.93351121,15.57817932,11.93351121,11.51508073,11.93351121
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mongolia,25.01117947,34.76350533,25.01117947,34.76350533,25.01117947,34.76350533,37.96566722,34.76350533,35.95616844,34.76350533
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Montenegro,25.70762668,23.74483028,25.70762668,23.74483028,25.70762668,23.74483028,27.80248173,23.74483028,21.91565485,23.74483028
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Morocco,32.57264648,29.40059385,32.57264648,29.40059385,32.57264648,29.40059385,31.56370096,29.40059385,34.10665652,29.40059385
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Mozambique,22.00218626,23.55656662,22.00218626,23.55656662,22.00218626,23.55656662,23.61494743,23.55656662,22.13970265,23.55656662
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Myanmar,36.57941224,32.27396916,36.57941224,32.27396916,36.57941224,32.27396916,31.16283822,32.27396916,29.10398763,32.27396916
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Namibia,24.55185999,26.0859573,24.55185999,26.0859573,24.55185999,26.0859573,27.57145532,26.0859573,25.16074037,26.0859573
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Nauru,5.69686128,5.163300753,5.69686128,5.163300753,5.69686128,5.163300753,5.298737139,5.163300753,5.830128348,5.163300753
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Nepal,69.70727002,94.81583099,69.70727002,94.81583099,69.70727002,94.81583099,78.11293037,94.81583099,80.62596922,94.81583099
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Netherlands,15.30183547,12.18576243,15.30183547,12.18576243,15.30183547,12.18576243,15.49744169,12.18576243,12.42053652,12.18576243
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",New Zealand,6.348300787,6.052504463,6.348300787,6.052504463,6.348300787,6.052504463,6.112340412,6.052504463,5.983860739,6.052504463
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Nicaragua,23.06554667,21.43012396,23.06554667,21.43012396,23.06554667,21.43012396,23.87684453,21.43012396,19.79808272,21.43012396
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Niger,79.28608804,69.29133601,79.28608804,69.29133601,79.28608804,69.29133601,80.46845613,69.29133601,78.03893543,69.29133601
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Nigeria,67.47106169,59.48444907,67.47106169,59.48444907,67.47106169,59.48444907,64.84236811,59.48444907,69.12074978,59.48444907
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",North Macedonia,37.15307677,34.79278398,37.15307677,34.79278398,37.15307677,34.79278398,41.05690857,34.79278398,31.43565921,34.79278398
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Northern Mariana Islands,7.633029514,7.349006477,7.633029514,7.349006477,7.633029514,7.349006477,7.040822394,7.349006477,7.839653053,7.349006477
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Norway,8.168736987,7.454135917,8.168736987,7.454135917,8.168736987,7.454135917,9.050737279,7.454135917,6.652507161,7.454135917
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Oman,42.79003956,40.65538072,42.79003956,40.65538072,42.79003956,40.65538072,44.83063053,40.65538072,44.03325236,40.65538072
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Pakistan,55.20881643,70.94474538,55.20881643,70.94474538,55.20881643,70.94474538,59.98728468,70.94474538,61.75482212,70.94474538
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Palau,6.818266909,7.281334486,6.818266909,7.281334486,6.818266909,7.281334486,6.521075623,7.281334486,6.908076947,7.281334486
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Panama,16.00965098,15.45471741,16.00965098,15.45471741,16.00965098,15.45471741,15.44989787,15.45471741,13.86640498,15.45471741
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Papua New Guinea,14.99480834,15.7666112,14.99480834,15.7666112,14.99480834,15.7666112,16.33833033,15.7666112,15.94673725,15.7666112
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Paraguay,14.87514828,13.94629802,14.87514828,13.94629802,14.87514828,13.94629802,15.79855879,13.94629802,12.4836148,13.94629802
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Peru,28.12519868,30.23785803,28.12519868,30.23785803,28.12519868,30.23785803,29.17575629,30.23785803,30.29525868,30.23785803
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Philippines,26.98519517,19.6970665,26.98519517,19.6970665,26.98519517,19.6970665,20.85443431,19.6970665,18.64126301,19.6970665
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Poland,26.83820327,23.91940281,26.83820327,23.91940281,26.83820327,23.91940281,27.07180922,23.91940281,22.779038,23.91940281
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Portugal,10.95942529,8.77615963,10.95942529,8.77615963,10.95942529,8.77615963,10.58600078,8.77615963,8.478894344,8.77615963
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Puerto Rico,6.214736156,6.131923431,6.214736156,6.131923431,6.214736156,6.131923431,5.57145349,6.131923431,6.74257415,6.131923431
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Qatar,82.72531438,72.73980041,82.72531438,72.73980041,82.72531438,72.73980041,81.22257259,72.73980041,78.38698962,72.73980041
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Romania,18.68745983,16.55872786,18.68745983,16.55872786,18.68745983,16.55872786,19.50868234,16.55872786,15.71390854,16.55872786
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Russian Federation,14.34288935,13.93528348,14.34288935,13.93528348,14.34288935,13.93528348,13.63707838,13.93528348,11.52259599,13.93528348
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Rwanda,35.81545959,37.75661455,35.81545959,37.75661455,35.81545959,37.75661455,37.75459321,37.75661455,35.57288206,37.75661455
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Samoa,11.55631281,11.14080727,11.55631281,11.14080727,11.55631281,11.14080727,10.70804506,11.14080727,10.90094994,11.14080727
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",San Marino,10.37952566,9.701666602,10.37952566,9.701666602,10.37952566,9.701666602,9.723372737,9.701666602,9.795344364,9.701666602
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Sao Tome and Principe,34.46843181,28.00675623,34.46843181,28.00675623,34.46843181,28.00675623,32.12056277,28.00675623,29.99540715,28.00675623
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Saudi Arabia,60.18568335,56.51070298,60.18568335,56.51070298,60.18568335,56.51070298,64.95237113,56.51070298,63.89713488,56.51070298
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Senegal,56.80914644,55.40981308,56.80914644,55.40981308,56.80914644,55.40981308,58.02145733,55.40981308,63.42037083,55.40981308
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Serbia,31.3759518,28.20153736,31.3759518,28.20153736,31.3759518,28.20153736,33.88729136,28.20153736,26.41632295,28.20153736
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Seychelles,15.8964359,15.1301922,15.8964359,15.1301922,15.8964359,15.1301922,16.5159476,15.1301922,15.88743775,15.1301922
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Sierra Leone,49.70736055,46.18555659,49.70736055,46.18555659,49.70736055,46.18555659,51.02064483,46.18555659,50.18179276,46.18555659
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Singapore,16.01396045,17.73247308,16.01396045,17.73247308,16.01396045,17.73247308,16.42814491,17.73247308,18.55801565,17.73247308
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Slovak Republic,22.19434728,19.3125724,22.19434728,19.3125724,22.19434728,19.3125724,22.60332523,19.3125724,18.2454102,19.3125724
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Slovenia,21.12988842,18.05674056,21.12988842,18.05674056,21.12988842,18.05674056,20.9420236,18.05674056,16.70789043,18.05674056
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Solomon Islands,11.02061012,12.31045976,11.02061012,12.31045976,11.02061012,12.31045976,11.69813051,12.31045976,12.32052248,12.31045976
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Somalia,26.5204689,28.71473783,26.5204689,28.71473783,26.5204689,28.71473783,30.33188409,28.71473783,29.95291683,28.71473783
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",South Africa,27.03090776,28.99888476,27.03090776,28.99888476,27.03090776,28.99888476,29.45389805,28.99888476,28.8576422,28.99888476
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",South Sudan,39.49592692,35.86344781,39.49592692,35.86344781,39.49592692,35.86344781,41.0035213,35.86344781,38.66290029,35.86344781
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Spain,12.34932779,9.830912644,12.34932779,9.830912644,12.34932779,9.830912644,12.44203689,9.830912644,9.749324875,9.830912644
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Sri Lanka,24.07469414,20.96900691,24.07469414,20.96900691,24.07469414,20.96900691,21.56928542,20.96900691,19.92492371,20.96900691
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",St. Kitts and Nevis,7.864959375,7.579156473,7.864959375,7.579156473,7.864959375,7.579156473,7.323219482,7.579156473,8.556462116,7.579156473
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",St. Lucia,19.86449855,20.14066609,19.86449855,20.14066609,19.86449855,20.14066609,19.11755404,20.14066609,20.75716759,20.14066609
